,Predator,Prey
72,Hermatypic benthic carnivores I              ,Carnivorous micro-zooplankton                
73,Hermatypic benthic carnivores I              ,Herbivorous micro-zooplankton                
74,Hermatypic benthic carnivores I              ,Carnivorous micro-zooplankton                
75,Diadema               ,Seagrasses            
76,Diadema               ,Filamentous macroalgae
77,Diadema               ,Sheet macroalgae      
78,Diadema               ,Coarsely branched macroalgae                 
79,Diadema               ,Jointed calcareous macroalgae                
80,Diadema               ,Thick leathery macroalgae                    
81,Diadema               ,Crustose coralline algae                     
82,Diadema               ,Ahermatypic benthic coralsù             
83,Diadema               ,Hermatypic coralsù                      
84,Tripneustes           ,Seagrasses            
85,Tripneustes           ,Filamentous macroalgae
86,Tripneustes           ,Sheet macroalgae      
87,Tripneustes           ,Coarsely branched macroalgae                 
88,Tripneustes           ,Jointed calcareous macroalgae                
89,Tripneustes           ,Thick leathery macroalgae                    
90,Tripneustes           ,Crustose coralline algae                     
91,Eucidaris             ,Seagrasses            
92,Eucidaris             ,Epibenthic sponges    
93,Eucidaris             ,Endolithic sponges    
94,Echinometra           ,Micro-detritivores    
95,Echinometra           ,Crustose coralline algae                     
96,Echinometra           ,Jointed calcareous macroalgae                
97,Echinometra           ,Sheet macroalgae      
98,Echinometra           ,Filamentous macroalgae
99,Lytechinus            ,Seagrasses            
100,Lytechinus            ,Micro-detritivores    
101,Lytechinus            ,Sheet macroalgae      
102,Lytechinus            ,Epiphytic autotrophs  
103,Deposit feeders I     ,Micro-detritivores    
104,Macroplanktonic herbivores I                 ,Phytoplankton         
105,Deep infaunal soft substrate         ,Phytoplankton         
106,Shallow infaunal suspension feeders          ,Phytoplankton         
107,Shallow infaunal soft substrate           ,Phytoplankton         
108,Epifaunal attached hard substrate   ,Phytoplankton         
109,Epifaunal attached soft substrate   ,Phytoplankton         
110,Epifaunal free hard substrate       ,Phytoplankton         
111,Infaunal hard substrate            ,Phytoplankton         
112,Epifaunal free soft substrate       ,Phytoplankton         
113,Spongivorous nudibranchs                     ,Epibenthic sponges    
114,Spongivorous nudibranchs                     ,Benthic carnivores II 
115,Omnivorous gastropod  ,Crustose coralline algae                     
116,Omnivorous gastropod  ,Epibenthic sponges    
117,Omnivorous gastropod  ,Benthic carnivores II 
118,Herbivorous gastropods I                     ,Filamentous macroalgae
119,Herbivorous gastropods I                     ,Sheet macroalgae      
120,Herbivorous gastropods I                     ,Coarsely branched macroalgae                 
121,Herbivorous gastropods I                     ,Jointed calcareous macroalgae                
122,Herbivorous gastropods I                     ,Thick leathery macroalgae                    
123,Herbivorous gastropods I                     ,Crustose coralline algae                     
124,Herbivorous gastropods II                    ,Filamentous macroalgae
125,Herbivorous gastropods II                    ,Crustose coralline algae                     
126,Herbivorous gastropods III                   ,Coarsely branched macroalgae                 
127,Herbivorous gastropods IV                    ,Filamentous macroalgae
128,Herbivorous gastropods IV                    ,Sheet macroalgae      
129,Herbivorous gastropods IV                    ,Coarsely branched macroalgae                 
130,Herbivorous gastropods IV                    ,Jointed calcareous macroalgae                
131,Corallivorous gastropods IV                  ,Hermatypic coralsù                      
132,Corallivorous gastropods IV                  ,Benthic carnivores I  
133,Corallivorous gastropods IV                  ,Hermatypic benthic carnivores I              
134,Gorgonian carnivores I,Hermatypic gorgonians 
135,Gorgonian carnivores I,Ahermatypic gorgonians
136,Echinoid carnivores I ,Diadema               
137,Echinoid carnivores I ,Tripneustes           
138,Echinoid carnivores I ,Lytechinus            
139,Echinoid carnivores I ,Deposit feeders I     
140,Epifaunal bivalve carnivores I               ,Epifaunal attached hard substrate   
141,Sponge-anemone carnivores I                  ,Epibenthic sponges    
142,Sponge-anemone carnivores I                  ,Benthic carnivores I  
143,Herbivorous gastropod carnivores I           ,Herbivorous gastropods I                     
144,Herbivorous gastropod carnivores I           ,Herbivorous gastropods II                    
145,Herbivorous gastropod carnivores I           ,Herbivorous gastropods III                   
146,Molluscivores I       ,Epifaunal attached hard substrate   
147,Molluscivores I       ,Epifaunal free hard substrate       
148,Molluscivores I       ,Herbivorous gastropods I                     
149,Molluscivores I       ,Herbivorous gastropods II                    
150,Molluscivores I       ,Herbivorous gastropods III                   
151,Epifaunal bivalve carnivores II              ,Epifaunal attached soft substrate   
152,Detritivorous gastropods I                   ,Micro-detritivores    
153,Molluscivores II      ,Shallow infaunal soft substrate           
154,Molluscivores II      ,Shallow infaunal deposit feeders I           
155,Molluscivores II      ,Shallow infaunal suspension feeders          
156,Molluscivores III     ,Sponge-anemone carnivores I                  
157,Epiphyte grazer I     ,Epiphytic autotrophs  
158,Epiphyte grazer I     ,Seagrasses            
159,Benthic carnivores II ,Nanno-zooplankton     
160,Benthic carnivores II ,Omnivorous micro-zooplankton                 
161,Benthic carnivores II ,Carnivorous micro-zooplankton                
162,Benthic carnivores II ,Herbivorous micro-zooplankton                
163,Benthic carnivores II ,Carnivorous micro-zooplankton                
164,Deposit feeders II    ,Micro-detritivores    
165,Endolithic polychaetes,Omnivorous micro-zooplankton                 
166,Endolithic polychaetes,Carnivorous micro-zooplankton                
167,Endolithic polychaetes,Herbivorous micro-zooplankton                
168,Endolithic polychaetes,Carnivorous micro-zooplankton                
169,Endolithic polychaetes,Large carnivorous micro-zooplankton          
170,Holothurian detritivores                     ,Micro-detritivores    
171,Coral macrocrustacean I                      ,Micro-detritivores    
172,Coral macrocrustacean II                     ,Filamentous macroalgae
173,Coral macrocrustacean II                     ,Sheet macroalgae      
174,Coral macrocrustacean II                     ,Micro-detritivores    
175,Coral macrocrustacean III                    ,Phytoplankton         
176,Coral macrocrustacean III                    ,Micro-detritivores    
177,Coral macrocrustacean IV                     ,Filamentous macroalgae
178,Coral macrocrustacean IV                     ,Sheet macroalgae      
179,Coral macrocrustacean IV                     ,Epiphytic autotrophs  
180,Coral macrocrustacean IV                     ,Micro-detritivores    
181,Coral macrocrustacean V                      ,Filamentous macroalgae
182,Coral macrocrustacean V                      ,Sheet macroalgae      
183,Coral macrocrustacean V                      ,Micro-detritivores    
184,Coral macrocrustacean V                      ,Epifaunal attached hard substrate   
185,Coral macrocrustacean V                      ,Epifaunal free hard substrate       
186,Coral macrocrustacean V                      ,Epibenthic sponges    
187,Coral macrocrustacean V                      ,Endolithic polychaetes
188,Coral macrocrustacean V                      ,Holothurian detritivores                     
189,Coral macrocrustacean V                      ,Diadema               
190,Coral macrocrustacean V                      ,Tripneustes           
191,Coral macrocrustacean V                      ,Eucidaris             
192,Coral macrocrustacean V                      ,Echinometra           
193,Coral macrocrustacean V                      ,Lytechinus            
194,Coral macrocrustacean V                      ,Benthic carnivores II 
195,Carnivorous ophiuroids,Micro-detritivores    
196,Carnivorous ophiuroids,Corallivorous polychaetes                    
197,Polychaete predators (gastropods)            ,Corallivorous polychaetes                    
198,Polychaete predators (gastropods)            ,Endolithic polychaetes
199,Molluscivorous crustacea II                  ,Epifaunal attached hard substrate   
200,Molluscivorous crustacea II                  ,Epifaunal free hard substrate       
201,Molluscivorous crustacea II                  ,Corallivorous gastropods IV                  
202,Molluscivorous crustacea II                  ,Spongivorous nudibranchs                     
203,Molluscivorous crustacea II                  ,Herbivorous gastropods I                     
204,Molluscivorous crustacea II                  ,Herbivorous gastropods II                    
205,Molluscivorous crustacea II                  ,Gorgonian carnivores I
206,Molluscivorous crustacea II                  ,Echinoid carnivores I 
207,Molluscivorous crustacea II                  ,Epifaunal bivalve carnivores I               
208,Molluscivorous crustacea II                  ,Sponge-anemone carnivores I                  
209,Molluscivorous crustacea II                  ,Herbivorous gastropod carnivores I           
210,Molluscivorous crustacea II                  ,Molluscivores I       
211,Molluscivorous crustacea II                  ,Diadema               
212,Molluscivorous crustacea II                  ,Tripneustes           
213,Molluscivorous crustacea II                  ,Eucidaris             
214,Molluscivorous crustacea II                  ,Echinometra           
215,Molluscivorous crustacea II                  ,Polychaete predators (gastropods)            
216,Molluscivorous crustacea II                  ,Molluscivores III     
217,Coral macrocrustacean VI                     ,Filamentous macroalgae
218,Coral macrocrustacean VI                     ,Sheet macroalgae      
219,Coral macrocrustacean VI                     ,Jointed calcareous macroalgae                
220,Coral macrocrustacean VI                     ,Epibenthic sponges    
221,Coral macrocrustacean VI                     ,Endolithic sponges    
222,Coral macrocrustacean VI                     ,Corallivorous polychaetes                    
223,Coral macrocrustacean VI                     ,Epifaunal attached hard substrate   
224,Coral macrocrustacean VI                     ,Epifaunal attached soft substrate   
225,Coral macrocrustacean VI                     ,Epifaunal free hard substrate       
226,Coral macrocrustacean VI                     ,Spongivorous nudibranchs                     
227,Coral macrocrustacean VI                     ,Herbivorous gastropods I                     
228,Coral macrocrustacean VI                     ,Herbivorous gastropods II                    
229,Coral macrocrustacean VI                     ,Gorgonian carnivores I
230,Coral macrocrustacean VI                     ,Echinoid carnivores I 
231,Coral macrocrustacean VI                     ,Epifaunal bivalve carnivores I               
232,Coral macrocrustacean VI                     ,Sponge-anemone carnivores I                  
233,Coral macrocrustacean VI                     ,Herbivorous gastropod carnivores I           
234,Coral macrocrustacean VI                     ,Molluscivores I       
235,Coral macrocrustacean VI                     ,Endolithic polychaetes
236,Coral macrocrustacean VI                     ,Holothurian detritivores                     
237,Coral macrocrustacean VI                     ,Omnivorous gastropod  
238,Coral macrocrustacean VI                     ,Molluscivores III     
239,Cleaner crustacea I   ,Micro-detritivores    
240,Herbivorous crustacea I                      ,Filamentous macroalgae
241,Herbivorous crustacea I                      ,Sheet macroalgae      
242,Herbivorous crustacea I                      ,Coarsely branched macroalgae                 
243,Herbivorous crustacea I                      ,Jointed calcareous macroalgae                
244,Herbivorous crustacea I                      ,Thick leathery macroalgae                    
245,Herbivorous crustacea I                      ,Deposit feeders II    
246,Herbivorous crustacea I                      ,Shallow infaunal deposit feeders I           
247,Herbivorous crustacea I                      ,Shallow infaunal suspension feeders          
248,Herbivorous crustacea I                      ,Shallow infaunal soft substrate           
249,Herbivorous crustacea I                      ,Epifaunal attached soft substrate   
250,Herbivorous crustacea I                      ,Epifaunal free soft substrate       
251,Herbivorous crustacea I                      ,Herbivorous gastropods III                   
252,Herbivorous crustacea I                      ,Herbivorous gastropods IV                    
253,Herbivorous crustacea I                      ,Echinoid carnivores I 
254,Herbivorous crustacea I                      ,Epifaunal bivalve carnivores II              
255,Herbivorous crustacea I                      ,Molluscivores II      
256,Herbivorous crustacea I                      ,Molluscivores III     
257,Herbivorous crustacea I                      ,Epiphyte grazer I     
258,Herbivorous crustacea II                     ,Filamentous macroalgae
259,Herbivorous crustacea II                     ,Sheet macroalgae      
260,Herbivorous crustacea II                     ,Coarsely branched macroalgae                 
261,Herbivorous crustacea II                     ,Jointed calcareous macroalgae                
262,Herbivorous crustacea II                     ,Thick leathery macroalgae                    
263,Herbivorous crustacea II                     ,Epiphytic autotrophs  
264,Herbivorous crustacea III                    ,Filamentous macroalgae
265,Herbivorous crustacea III                    ,Sheet macroalgae      
266,Herbivorous crustacea III                    ,Coarsely branched macroalgae                 
267,Herbivorous crustacea III                    ,Jointed calcareous macroalgae                
268,Herbivorous crustacea III                    ,Thick leathery macroalgae                    
269,Herbivorous crustacea III                    ,Seagrasses            
270,Omnivorous crustacea I (=81)                 ,Filamentous macroalgae
271,Omnivorous crustacea I (=81)                 ,Sheet macroalgae      
272,Omnivorous crustacea I (=81)                 ,Coarsely branched macroalgae                 
273,Omnivorous crustacea I (=81)                 ,Jointed calcareous macroalgae                
274,Omnivorous crustacea I (=81)                 ,Thick leathery macroalgae                    
275,Omnivorous crustacea I (=81)                 ,Deposit feeders II    
276,Omnivorous crustacea I (=81)                 ,Shallow infaunal deposit feeders I           
277,Omnivorous crustacea I (=81)                 ,Shallow infaunal suspension feeders          
278,Omnivorous crustacea I (=81)                 ,Shallow infaunal soft substrate           
279,Omnivorous crustacea I (=81)                 ,Epifaunal attached soft substrate   
280,Omnivorous crustacea I (=81)                 ,Epifaunal free soft substrate       
281,Omnivorous crustacea I (=81)                 ,Herbivorous gastropods III                   
282,Omnivorous crustacea I (=81)                 ,Herbivorous gastropods IV                    
283,Omnivorous crustacea I (=81)                 ,Echinoid carnivores I 
284,Omnivorous crustacea I (=81)                 ,Epifaunal bivalve carnivores II              
285,Omnivorous crustacea I (=81)                 ,Molluscivores II      
286,Omnivorous crustacea I (=81)                 ,Molluscivores III     
287,Omnivorous crustacea I (=81)                 ,Epiphyte grazer I     
288,Omnivorous crustacea II                      ,Phytoplankton         
289,Omnivorous crustacea II                      ,Tripneustes           
290,Omnivorous crustacea III                     ,Filamentous macroalgae
291,Omnivorous crustacea III                     ,Sheet macroalgae      
292,Omnivorous crustacea III                     ,Coarsely branched macroalgae                 
293,Omnivorous crustacea III                     ,Jointed calcareous macroalgae                
294,Omnivorous crustacea III                     ,Thick leathery macroalgae                    
295,Omnivorous crustacea III                     ,Crustose coralline algae                     
296,Omnivorous crustacea III                     ,Shallow infaunal deposit feeders I           
297,Omnivorous crustacea III                     ,Shallow infaunal soft substrate           
298,Omnivorous crustacea III                     ,Epifaunal attached soft substrate   
299,Omnivorous crustacea III                     ,Epifaunal free soft substrate       
300,Omnivorous crustacea III                     ,Epibenthic sponges    
301,Omnivorous crustacea III                     ,Deposit feeders II    
302,Omnivorous crustacea III                     ,Holothurian detritivores                     
303,Omnivorous crustacea III                     ,Diadema               
304,Omnivorous crustacea III                     ,Tripneustes           
305,Omnivorous crustacea III                     ,Eucidaris             
306,Omnivorous crustacea III                     ,Echinometra           
307,Omnivorous crustacea III                     ,Lytechinus            
308,Omnivorous crustacea III                     ,Deposit feeders I     
309,Omnivorous crustacea III                     ,Carnivorous ophiuroids
310,Omnivorous crustacea III                     ,Micro-detritivores    
311,Molluscivorous crustacea III                 ,Shallow infaunal deposit feeders I           
312,Molluscivorous crustacea III                 ,Shallow infaunal suspension feeders          
313,Molluscivorous crustacea III                 ,Shallow infaunal soft substrate           
314,Molluscivorous crustacea III                 ,Epifaunal attached soft substrate   
315,Molluscivorous crustacea III                 ,Epifaunal free soft substrate       
316,Molluscivorous crustacea III                 ,Herbivorous gastropods IV                    
317,Molluscivorous crustacea III                 ,Echinoid carnivores I 
318,Molluscivorous crustacea III                 ,Epifaunal bivalve carnivores I               
319,Molluscivorous crustacea III                 ,Epifaunal bivalve carnivores II              
320,Molluscivorous crustacea III                 ,Detritivorous gastropods I                   
321,Molluscivorous crustacea III                 ,Molluscivores II      
322,Molluscivorous crustacea III                 ,Molluscivores III     
323,Molluscivorous crustacea III                 ,Epiphyte grazer I     
324,Carnivorous crustacea I                      ,Shallow infaunal deposit feeders I           
325,Carnivorous crustacea I                      ,Shallow infaunal suspension feeders          
326,Carnivorous crustacea I                      ,Shallow infaunal soft substrate           
327,Carnivorous crustacea I                      ,Epifaunal attached soft substrate   
328,Carnivorous crustacea I                      ,Epifaunal free soft substrate       
329,Carnivorous crustacea I                      ,Herbivorous gastropods IV                    
330,Carnivorous crustacea I                      ,Echinoid carnivores I 
331,Carnivorous crustacea I                      ,Epifaunal bivalve carnivores I               
332,Carnivorous crustacea I                      ,Epifaunal bivalve carnivores II              
333,Carnivorous crustacea I                      ,Detritivorous gastropods I                   
334,Carnivorous crustacea I                      ,Molluscivores II      
335,Carnivorous crustacea I                      ,Molluscivores III     
336,Carnivorous crustacea I                      ,Epiphyte grazer I     
337,Carnivorous crustacea I                      ,Omnivorous crustacea III                     
338,Carnivorous crustacea I                      ,Herbivorous crustacea IV                     
339,Carnivorous crustacea II                     ,Epibenthic sponges    
340,Carnivorous crustacea II                     ,Deposit feeders II    
341,Carnivorous crustacea II                     ,Holothurian detritivores                     
342,Carnivorous crustacea II                     ,Shallow infaunal deposit feeders I           
343,Carnivorous crustacea II                     ,Shallow infaunal suspension feeders          
344,Carnivorous crustacea II                     ,Shallow infaunal soft substrate           
345,Carnivorous crustacea II                     ,Epifaunal attached soft substrate   
346,Carnivorous crustacea II                     ,Epifaunal free soft substrate       
347,Carnivorous crustacea II                     ,Herbivorous gastropods IV                    
348,Carnivorous crustacea II                     ,Echinoid carnivores I 
349,Carnivorous crustacea II                     ,Epifaunal bivalve carnivores I               
350,Carnivorous crustacea II                     ,Epifaunal bivalve carnivores II              
351,Carnivorous crustacea II                     ,Detritivorous gastropods I                   
352,Carnivorous crustacea II                     ,Molluscivores II      
353,Carnivorous crustacea II                     ,Molluscivores III     
354,Carnivorous crustacea II                     ,Epiphyte grazer I     
355,Omnivorous crustacea IV                      ,Epibenthic sponges    
356,Omnivorous crustacea IV                      ,Deposit feeders II    
357,Omnivorous crustacea IV                      ,Holothurian detritivores                     
358,Omnivorous crustacea IV                      ,Shallow infaunal deposit feeders I           
359,Omnivorous crustacea IV                      ,Shallow infaunal suspension feeders          
360,Omnivorous crustacea IV                      ,Shallow infaunal soft substrate           
361,Omnivorous crustacea IV                      ,Epifaunal attached soft substrate   
362,Omnivorous crustacea IV                      ,Epifaunal free soft substrate       
363,Omnivorous crustacea IV                      ,Herbivorous gastropods IV                    
364,Omnivorous crustacea IV                      ,Echinoid carnivores I 
365,Omnivorous crustacea IV                      ,Epifaunal bivalve carnivores I               
366,Omnivorous crustacea IV                      ,Epifaunal bivalve carnivores II              
367,Omnivorous crustacea IV                      ,Detritivorous gastropods I                   
368,Omnivorous crustacea IV                      ,Molluscivores II      
369,Omnivorous crustacea IV                      ,Molluscivores III     
370,Omnivorous crustacea IV                      ,Epiphyte grazer I     
371,Omnivorous crustacea IV                      ,Filamentous macroalgae
372,Omnivorous crustacea IV                      ,Sheet macroalgae      
373,Omnivorous crustacea IV                      ,Coarsely branched macroalgae                 
374,Omnivorous crustacea IV                      ,Jointed calcareous macroalgae                
375,Omnivorous crustacea IV                      ,Thick leathery macroalgae                    
376,Omnivorous crustacea IV                      ,Crustose coralline algae                     
377,Herbivorous crustacea IV                     ,Filamentous macroalgae
378,Herbivorous crustacea IV                     ,Sheet macroalgae      
379,Herbivorous crustacea IV                     ,Coarsely branched macroalgae                 
380,Herbivorous crustacea IV                     ,Jointed calcareous macroalgae                
381,Herbivorous crustacea IV                     ,Thick leathery macroalgae                    
382,Herbivorous crustacea IV                     ,Crustose coralline algae                     
383,Herbivorous crustacea IV                     ,Micro-detritivores    
384,Herbivorous crustacea V                      ,Phytoplankton         
385,Herbivorous crustacea V                      ,Micro-detritivores    
386,Herbivorous crustacea VI                     ,Filamentous macroalgae
387,Herbivorous crustacea VI                     ,Sheet macroalgae      
388,Herbivorous crustacea VI                     ,Coarsely branched macroalgae                 
389,Herbivorous crustacea VI                     ,Jointed calcareous macroalgae                
390,Herbivorous crustacea VI                     ,Thick leathery macroalgae                    
391,Herbivorous crustacea VI                     ,Crustose coralline algae                     
392,Herbivorous crustacea VI                     ,Epiphytic autotrophs  
393,Omnivorous crustacea V,Filamentous macroalgae
394,Omnivorous crustacea V,Sheet macroalgae      
395,Omnivorous crustacea V,Coarsely branched macroalgae                 
396,Omnivorous crustacea V,Jointed calcareous macroalgae                
397,Omnivorous crustacea V,Thick leathery macroalgae                    
398,Omnivorous crustacea V,Crustose coralline algae                     
399,Omnivorous crustacea V,Corallivorous polychaetes                    
400,Omnivorous crustacea V,Diadema               
401,Omnivorous crustacea V,Tripneustes           
402,Omnivorous crustacea V,Eucidaris             
403,Omnivorous crustacea V,Echinometra           
404,Omnivorous crustacea V,Lytechinus            
405,Omnivorous crustacea V,Deposit feeders I     
406,Omnivorous crustacea V,Shallow infaunal deposit feeders I           
407,Omnivorous crustacea V,Shallow infaunal suspension feeders          
408,Omnivorous crustacea V,Shallow infaunal soft substrate           
409,Omnivorous crustacea V,Epifaunal attached hard substrate   
410,Omnivorous crustacea V,Epifaunal attached soft substrate   
411,Omnivorous crustacea V,Epifaunal free soft substrate       
412,Omnivorous crustacea V,Deposit feeders II    
413,Omnivorous crustacea V,Holothurian detritivores                     
414,Omnivorous crustacea V,Carnivorous ophiuroids
415,Omnivorous crustacea V,Micro-detritivores    
416,Carnivorous crustacea III                    ,Deposit feeders II    
417,Carnivorous crustacea III                    ,Endolithic polychaetes
418,Omnivorous crustacea VI                      ,Filamentous macroalgae
419,Omnivorous crustacea VI                      ,Sheet macroalgae      
420,Omnivorous crustacea VI                      ,Coarsely branched macroalgae                 
421,Omnivorous crustacea VI                      ,Jointed calcareous macroalgae                
422,Omnivorous crustacea VI                      ,Thick leathery macroalgae                    
423,Omnivorous crustacea VI                      ,Crustose coralline algae                     
424,Omnivorous crustacea VI                      ,Epibenthic sponges    
425,Omnivorous crustacea VI                      ,Corallivorous polychaetes                    
426,Omnivorous crustacea VI                      ,Shallow infaunal deposit feeders I           
427,Omnivorous crustacea VI                      ,Shallow infaunal suspension feeders          
428,Omnivorous crustacea VI                      ,Shallow infaunal soft substrate           
429,Omnivorous crustacea VI                      ,Epifaunal attached hard substrate   
430,Omnivorous crustacea VI                      ,Epifaunal attached soft substrate   
431,Omnivorous crustacea VI                      ,Epifaunal free hard substrate       
432,Omnivorous crustacea VI                      ,Epifaunal free soft substrate       
433,Omnivorous crustacea VI                      ,Spongivorous nudibranchs                     
434,Omnivorous crustacea VI                      ,Herbivorous gastropods I                     
435,Omnivorous crustacea VI                      ,Herbivorous gastropods II                    
436,Omnivorous crustacea VI                      ,Herbivorous gastropods III                   
437,Omnivorous crustacea VI                      ,Herbivorous gastropods IV                    
438,Omnivorous crustacea VI                      ,Corallivorous gastropods IV                  
439,Omnivorous crustacea VI                      ,Gorgonian carnivores I
440,Omnivorous crustacea VI                      ,Echinoid carnivores I 
441,Omnivorous crustacea VI                      ,Epifaunal bivalve carnivores I               
442,Omnivorous crustacea VI                      ,Sponge-anemone carnivores I                  
443,Omnivorous crustacea VI                      ,Herbivorous gastropod carnivores I           
444,Omnivorous crustacea VI                      ,Molluscivores I       
445,Omnivorous crustacea VI                      ,Epifaunal bivalve carnivores II              
446,Omnivorous crustacea VI                      ,Detritivorous gastropods I                   
447,Omnivorous crustacea VI                      ,Molluscivores II      
448,Omnivorous crustacea VI                      ,Molluscivores III     
449,Omnivorous crustacea VI                      ,Epiphyte grazer I     
450,Omnivorous crustacea VI                      ,Benthic carnivores II 
451,Omnivorous crustacea VI                      ,Deposit feeders II    
452,Omnivorous crustacea VI                      ,Endolithic polychaetes
453,Omnivorous crustacea VI                      ,Holothurian detritivores                     
454,Omnivorous crustacea VI                      ,Omnivorous gastropod  
455,Amphiroa crustacea I  ,Phytoplankton         
456,Amphiroa crustacea I  ,Micro-detritivores    
457,Amphiroa crustacea II ,Filamentous macroalgae
458,Amphiroa crustacea II ,Sheet macroalgae      
459,Amphiroa crustacea II ,Coarsely branched macroalgae                 
460,Amphiroa crustacea II ,Jointed calcareous macroalgae                
461,Amphiroa crustacea II ,Thick leathery macroalgae                    
462,Amphiroa crustacea II ,Crustose coralline algae                     
463,Omnivorous crustacea VII                     ,Filamentous macroalgae
464,Omnivorous crustacea VII                     ,Sheet macroalgae      
465,Omnivorous crustacea VII                     ,Endolithic polychaetes
466,Omnivorous crustacea VII                     ,Cleaner crustacea I   
467,Omnivorous crustacea VII                     ,Omnivorous crustacea VII                     
468,Omnivorous crustacea VII                     ,Micro-detritivores    
469,Omnivorous crustacea VIII                    ,Filamentous macroalgae
470,Omnivorous crustacea VIII                    ,Sheet macroalgae      
