Prey,Predator
 Sheet macroalgae                       , Coral macrocrustacean V                   
 Micro-detritivores                      , Coral macrocrustacean V                   
 Epifaunal attached hard substrate suspension feeder , Coral macrocrustacean V                   
 Epifaunal free hard substrate suspension feeder   , Coral macrocrustacean V                   
 Epibenthic sponges                      , Coral macrocrustacean V                   
 Endolithic polychaetes                    , Coral macrocrustacean V                   
 Holothurian detritivores                   , Coral macrocrustacean V                   
 Diadema                           , Coral macrocrustacean V                   
 Tripneustes                         , Coral macrocrustacean V                   
 Eucidaris                          , Coral macrocrustacean V                   
 Echinometra                         , Coral macrocrustacean V                   
 Lytechinus                          , Coral macrocrustacean V                   
 Benthic carnivores II                    , Coral macrocrustacean V                   
 Micro-detritivores                      , Carnivorous ophiuroids                    
 Corallivorous polychaetes                  , Carnivorous ophiuroids                    
 Corallivorous polychaetes                  , Polychaete predators (gastropods)              
 Endolithic polychaetes                    , Polychaete predators (gastropods)              
 Epifaunal attached hard substrate suspension feeder , Molluscivorous crustacea II                 
 Epifaunal free hard substrate suspension feeder   , Molluscivorous crustacea II                 
 Corallivorous gastropods IV                 , Molluscivorous crustacea II                 
 Spongivorous nudibranchs                   , Molluscivorous crustacea II                 
 Herbivorous gastropods I                   , Molluscivorous crustacea II                 
 Herbivorous gastropods II                  , Molluscivorous crustacea II                 
 Gorgonian carnivores I                    , Molluscivorous crustacea II                 
 Echinoid carnivores I                    , Molluscivorous crustacea II                 
 Epifaunal bivalve carnivores I                , Molluscivorous crustacea II                 
 Sponge-anemone carnivores I                 , Molluscivorous crustacea II                 
 Herbivorous gastropod carnivores I              , Molluscivorous crustacea II                 
 Molluscivores I                       , Molluscivorous crustacea II                 
 Diadema                           , Molluscivorous crustacea II                 
 Tripneustes                         , Molluscivorous crustacea II                 
 Eucidaris                          , Molluscivorous crustacea II                 
 Echinometra                         , Molluscivorous crustacea II                 
 Polychaete predators (gastropods)              , Molluscivorous crustacea II                 
 Molluscivores III                      , Molluscivorous crustacea II                 
 Filamentous macroalgae                    , Coral macrocrustacean VI 
 Sheet macroalgae                       , Coral macrocrustacean VI 
 Jointed calcareous macroalgae                , Coral macrocrustacean VI 
 Epibenthic sponges                      , Coral macrocrustacean VI 
 Endolithic sponges                      , Coral macrocrustacean VI 
 Corallivorous polychaetes                  , Coral macrocrustacean VI 
 Epifaunal attached hard substrate suspension feeder , Coral macrocrustacean VI 
 Epifaunal attached soft substrate suspension feeder , Coral macrocrustacean VI 
 Epifaunal free hard substrate suspension feeder   , Coral macrocrustacean VI 
 Spongivorous nudibranchs                   , Coral macrocrustacean VI 
 Herbivorous gastropods I                   , Coral macrocrustacean VI 
 Herbivorous gastropods II                  , Coral macrocrustacean VI 
 Gorgonian carnivores I                    , Coral macrocrustacean VI 
 Echinoid carnivores I                    , Coral macrocrustacean VI 
 Epifaunal bivalve carnivores I                , Coral macrocrustacean VI 
 Sponge-anemone carnivores I                 , Coral macrocrustacean VI 
 Herbivorous gastropod carnivores I              , Coral macrocrustacean VI 
 Molluscivores I                       , Coral macrocrustacean VI 
 Endolithic polychaetes                    , Coral macrocrustacean VI 
 Holothurian detritivores                   , Coral macrocrustacean VI 
 Omnivorous gastropod                     , Coral macrocrustacean VI 
 Molluscivores III                      , Coral macrocrustacean VI 
 Micro-detritivores                      , Cleaner crustacea I                     
 Filamentous macroalgae                    , Herbivorous crustacea I                   
 Sheet macroalgae                       , Herbivorous crustacea I                   
 Coarsely branched macroalgae                 , Herbivorous crustacea I                   
 Jointed calcareous macroalgae                , Herbivorous crustacea I                   
 Thick leathery macroalgae                  , Herbivorous crustacea I                   
 Deposit feeders II                      , Herbivorous crustacea I                   
 Shallow infaunal deposit feeders I              , Herbivorous crustacea I                   
 Shallow infaunal suspension feeders with chemosymbionts   , Herbivorous crustacea I                   
 Shallow infaunal soft substrate suspension feeder     , Herbivorous crustacea I                   
 Epifaunal attached soft substrate suspension feeder , Herbivorous crustacea I                   
 Epifaunal free soft substrate suspension feeder   , Herbivorous crustacea I                   
 Herbivorous gastropods III                  , Herbivorous crustacea I                   
 Herbivorous gastropods IV                  , Herbivorous crustacea I                   
 Echinoid carnivores I                    , Herbivorous crustacea I                   
 Epifaunal bivalve carnivores II               , Herbivorous crustacea I                   
 Molluscivores II                       , Herbivorous crustacea I                   
 Molluscivores III                      , Herbivorous crustacea I                   
 Epiphyte grazer I                      , Herbivorous crustacea I                   
 Filamentous macroalgae                    , Herbivorous crustacea II                   
 Sheet macroalgae                       , Herbivorous crustacea II                   
 Coarsely branched macroalgae                 , Herbivorous crustacea II                   
 Jointed calcareous macroalgae                , Herbivorous crustacea II                   
 Thick leathery macroalgae                  , Herbivorous crustacea II                   
 Epiphytic autotrophs                     , Herbivorous crustacea II                   
 Filamentous macroalgae                    , Herbivorous crustacea III                  
 Sheet macroalgae                       , Herbivorous crustacea III                  
 Coarsely branched macroalgae                 , Herbivorous crustacea III                  
 Jointed calcareous macroalgae                , Herbivorous crustacea III                  
 Thick leathery macroalgae                  , Herbivorous crustacea III                  
 Seagrasses                          , Herbivorous crustacea III                  
 Filamentous macroalgae                    , Omnivorous crustacea I (=81)                 
 Sheet macroalgae                       , Omnivorous crustacea I (=81)                 
 Coarsely branched macroalgae                 , Omnivorous crustacea I (=81)                 
 Jointed calcareous macroalgae                , Omnivorous crustacea I (=81)                 
 Thick leathery macroalgae                  , Omnivorous crustacea I (=81)                 
 Deposit feeders II                      , Omnivorous crustacea I (=81)                 
 Shallow infaunal deposit feeders I              , Omnivorous crustacea I (=81)                 
 Shallow infaunal suspension feeders with chemosymbionts   , Omnivorous crustacea I (=81)                 
 Shallow infaunal soft substrate suspension feeder     , Omnivorous crustacea I (=81)                 
 Epifaunal attached soft substrate suspension feeder , Omnivorous crustacea I (=81)                 
 Epifaunal free soft substrate suspension feeder   , Omnivorous crustacea I (=81)                 
 Herbivorous gastropods III                  , Omnivorous crustacea I (=81)                 
 Herbivorous gastropods IV                  , Omnivorous crustacea I (=81)                 
 Echinoid carnivores I                    , Omnivorous crustacea I (=81)                 
 Epifaunal bivalve carnivores II               , Omnivorous crustacea I (=81)                 
 Molluscivores II                       , Omnivorous crustacea I (=81)                 
 Molluscivores III                      , Omnivorous crustacea I (=81)                 
 Epiphyte grazer I                      , Omnivorous crustacea I (=81)                 
 Phytoplankton                        , Omnivorous crustacea II                   
 Tripneustes                         , Omnivorous crustacea II                   
 Filamentous macroalgae                    , Omnivorous crustacea III                   
 Sheet macroalgae                       , Omnivorous crustacea III                   
 Coarsely branched macroalgae                 , Omnivorous crustacea III                   
 Jointed calcareous macroalgae                , Omnivorous crustacea III                   
 Thick leathery macroalgae                  , Omnivorous crustacea III                   
 Crustose coralline algae                   , Omnivorous crustacea III                   
 Shallow infaunal deposit feeders I              , Omnivorous crustacea III                   
 Shallow infaunal soft substrate suspension feeder     , Omnivorous crustacea III                   
 Epifaunal attached soft substrate suspension feeder , Omnivorous crustacea III                   
 Epifaunal free soft substrate suspension feeder   , Omnivorous crustacea III                   
 Epibenthic sponges                      , Omnivorous crustacea III                   
 Deposit feeders II                      , Omnivorous crustacea III                   
 Holothurian detritivores                   , Omnivorous crustacea III                   
 Diadema                           , Omnivorous crustacea III                   
 Tripneustes                         , Omnivorous crustacea III                   
 Eucidaris                          , Omnivorous crustacea III                   
 Echinometra                         , Omnivorous crustacea III                   
 Lytechinus                          , Omnivorous crustacea III                   
 Deposit feeders I                      , Omnivorous crustacea III                   
 Carnivorous ophiuroids                    , Omnivorous crustacea III                   
 Micro-detritivores                      , Omnivorous crustacea III                   
 Shallow infaunal deposit feeders I              , Molluscivorous crustacea III                 
 Shallow infaunal suspension feeders with chemosymbionts   , Molluscivorous crustacea III                 
 Shallow infaunal soft substrate suspension feeder     , Molluscivorous crustacea III                 
 Epifaunal attached soft substrate suspension feeder , Molluscivorous crustacea III                 
 Epifaunal free soft substrate suspension feeder   , Molluscivorous crustacea III                 
 Herbivorous gastropods IV                  , Molluscivorous crustacea III                 
 Echinoid carnivores I                    , Molluscivorous crustacea III                 
 Epifaunal bivalve carnivores I                , Molluscivorous crustacea III                 
 Epifaunal bivalve carnivores II               , Molluscivorous crustacea III                 
